Số hiệu chuyến bay,Khởi hành,Đến,Airbus,SkyBOSS_Business,SkyBOSS,Deluxe,Eco
VJ1634,19:05 23 tháng 1,20:25 23 tháng 1,,Hết chỗ,Hết chỗ,Hết chỗ,Hết chỗ
VJ640,21:00 23 tháng 1,22:20 23 tháng 1,,Hết chỗ,Hết chỗ,Hết chỗ,Hết chỗ
VJ644,21:35 23 tháng 1,22:55 23 tháng 1,,Hết chỗ,Hết chỗ,Hết chỗ,Hết chỗ
VJ638,22:15 23 tháng 1,23:35 23 tháng 1,,Hết chỗ,Hết chỗ,Hết chỗ,Hết chỗ
VJ636,22:50 23 tháng 1,00:10 23 tháng 1,,Hết chỗ,Hết chỗ,Hết chỗ,Hết chỗ
VJ620,05:15 24 tháng 1,06:35 24 tháng 1,,Hết chỗ,Hết chỗ,Hết chỗ,Hết chỗ
VJ642,06:05 24 tháng 1,07:25 24 tháng 1,,Hết chỗ,Hết chỗ,Hết chỗ,Hết chỗ
VJ622,07:25 24 tháng 1,08:45 24 tháng 1,,Hết chỗ,Hết chỗ,Hết chỗ,Hết chỗ
VJ1626,10:45 24 tháng 1,12:05 24 tháng 1,,Hết chỗ,Hết chỗ,Hết chỗ,Hết chỗ
VJ624,12:35 24 tháng 1,13:50 24 tháng 1,,Hết chỗ,Hết chỗ,Hết chỗ,Hết chỗ
VJ1630,14:35 24 tháng 1,15:50 24 tháng 1,,Hết chỗ,Hết chỗ,Hết chỗ,Hết chỗ
VJ1632,16:35 24 tháng 1,17:55 24 tháng 1,,Hết chỗ,Hết chỗ,Hết chỗ,Hết chỗ
VJ1634,19:05 24 tháng 1,20:25 24 tháng 1,,Hết chỗ,Hết chỗ,Hết chỗ,Hết chỗ
VJ640,21:00 24 tháng 1,22:20 24 tháng 1,,Hết chỗ,Hết chỗ,Hết chỗ,Hết chỗ
VJ644,21:35 24 tháng 1,22:55 24 tháng 1,,Hết chỗ,Hết chỗ,Hết chỗ,Hết chỗ
VJ638,22:15 24 tháng 1,23:35 24 tháng 1,,Hết chỗ,Hết chỗ,Hết chỗ,Hết chỗ
VJ636,22:50 24 tháng 1,00:10 24 tháng 1,,Hết chỗ,Hết chỗ,Hết chỗ,Hết chỗ
VJ620,05:15 25 tháng 1,06:35 25 tháng 1,,Hết chỗ,Hết chỗ,Hết chỗ,Hết chỗ
VJ642,06:05 25 tháng 1,07:25 25 tháng 1,,Hết chỗ,Hết chỗ,Hết chỗ,Hết chỗ
VJ622,07:25 25 tháng 1,08:45 25 tháng 1,,Hết chỗ,Hết chỗ,Hết chỗ,Hết chỗ
VJ1626,10:45 25 tháng 1,12:05 25 tháng 1,,Hết chỗ,Hết chỗ,Hết chỗ,Hết chỗ
VJ624,12:35 25 tháng 1,13:50 25 tháng 1,,Hết chỗ,Hết chỗ,Hết chỗ,Hết chỗ
VJ1630,14:35 25 tháng 1,15:50 25 tháng 1,,Hết chỗ,Hết chỗ,Hết chỗ,Hết chỗ
VJ1632,16:35 25 tháng 1,17:55 25 tháng 1,,Hết chỗ,Hết chỗ,Hết chỗ,Hết chỗ
VJ1620,17:00 25 tháng 1,18:20 25 tháng 1,,Hết chỗ,Hết chỗ,Hết chỗ,Hết chỗ
VJ1634,19:05 25 tháng 1,20:25 25 tháng 1,,Hết chỗ,Hết chỗ,Hết chỗ,Hết chỗ
VJ640,21:00 25 tháng 1,22:20 25 tháng 1,,Hết chỗ,Hết chỗ,Hết chỗ,Hết chỗ
VJ644,21:35 25 tháng 1,22:55 25 tháng 1,,Hết chỗ,Hết chỗ,Hết chỗ,Hết chỗ
VJ638,22:15 25 tháng 1,23:35 25 tháng 1,,Hết chỗ,Hết chỗ,Hết chỗ,Hết chỗ
VJ636,22:50 25 tháng 1,00:10 25 tháng 1,,Hết chỗ,Hết chỗ,Hết chỗ,Hết chỗ
VJ620,05:15 26 tháng 1,06:35 26 tháng 1,,Hết chỗ,Hết chỗ,Hết chỗ,Hết chỗ
VJ642,06:05 26 tháng 1,07:25 26 tháng 1,,Hết chỗ,Hết chỗ,Hết chỗ,Hết chỗ
VJ622,07:25 26 tháng 1,08:45 26 tháng 1,,Hết chỗ,Hết chỗ,Hết chỗ,Hết chỗ
VJ1658,10:00 26 tháng 1,11:20 26 tháng 1,,Hết chỗ,Hết chỗ,Hết chỗ,Hết chỗ
VJ1626,10:45 26 tháng 1,12:05 26 tháng 1,,Hết chỗ,Hết chỗ,Hết chỗ,Hết chỗ
VJ624,12:35 26 tháng 1,13:50 26 tháng 1,,Hết chỗ,Hết chỗ,Hết chỗ,Hết chỗ
VJ1630,14:35 26 tháng 1,15:50 26 tháng 1,,Hết chỗ,Hết chỗ,Hết chỗ,Hết chỗ
VJ1632,16:35 26 tháng 1,17:55 26 tháng 1,,Hết chỗ,Hết chỗ,Hết chỗ,Hết chỗ
VJ1634,19:05 26 tháng 1,20:25 26 tháng 1,,Hết chỗ,Hết chỗ,Hết chỗ,Hết chỗ
VJ640,21:00 26 tháng 1,22:20 26 tháng 1,,Hết chỗ,Hết chỗ,Hết chỗ,Hết chỗ
VJ644,"21:35, 26/01/2025 (Giờ địa phương)","22:55, 26/01/2025 (Giờ địa phương)",,Hết chỗ,"2,990","2,270","1,720"
VJ638,"22:15, 26/01/2025 (Giờ địa phương)","23:35, 26/01/2025 (Giờ địa phương)",,Hết chỗ,"2,990","2,270","1,720"
VJ636,"22:50, 26/01/2025 (Giờ địa phương)","00:10, 27/01/2025 (Giờ địa phương)",,Hết chỗ,"2,990","2,270","1,720"
